"","X","source_file","xylem_id","Area","Perim.","Feret","FeretX","FeretY","FeretAngle","MinFeret","plant","age_class","nin_type","treatment","plant_direction","subset","subset_id","subset_area","subset_damage","whole_plant_damage","cardinal_direction_damage","warped","folds","late_season_missing","circ","duplicate_subset","suspicious_age"
"1",1,"BUI-BH1-E-SUBSET-1.csv",1,242.194,57.884,20.283,1872,485,145.62,15.859,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",1,"BUI-BH1-E-1",57777.95,2,2,2,0,2,0,0.90789568003158,0,0
"2",3,"BUI-BH1-E-SUBSET-1.csv",3,319.82,81.131,25.414,1714,552,146.31,19.999,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",1,"BUI-BH1-E-1",57777.95,2,2,2,0,2,0,0.610269408592825,0,0
"3",4,"BUI-BH1-E-SUBSET-2.csv",1,516.214,90.369,32.396,1712,890,157.62,22.01,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.793926804907452,0,0
"4",5,"BUI-BH1-E-SUBSET-2.csv",2,100.138,39.533,16.078,1654,895,170.538,8.811,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.804764865634579,0,0
"5",6,"BUI-BH1-E-SUBSET-2.csv",3,143.608,49.287,16.624,1589,922,32.005,12.841,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.742512047553382,0,0
"6",7,"BUI-BH1-E-SUBSET-2.csv",4,651.284,98.147,35.517,1695,981,172.875,24.147,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.849192187058777,0,0
"7",8,"BUI-BH1-E-SUBSET-2.csv",5,489.045,98.575,29.904,1557,1003,45,26.642,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.632127800873325,0,0
"8",9,"BUI-BH1-E-SUBSET-2.csv",6,316.715,71.59,28.699,1573,1004,162.121,15.846,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.776164092366784,0,0
"9",10,"BUI-BH1-E-SUBSET-2.csv",7,383.473,74.812,26.505,1753,1047,21.448,19.224,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.860561475184967,0,0
"10",12,"BUI-BH1-E-SUBSET-2.csv",9,484.387,85.901,32.071,1662,1060,15.945,21.057,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.824490544098579,0,0
"11",13,"BUI-BH1-E-SUBSET-2.csv",10,308.952,75.631,30.887,1568,1053,176.73,13.216,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.678392386004248,0,0
"12",14,"BUI-BH1-E-SUBSET-2.csv",11,473.52,84.869,32.312,1640,1115,168.996,20.044,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.825714281934379,0,0
"13",16,"BUI-BH1-E-SUBSET-2.csv",13,154.476,52.598,20.111,1519,1136,151.189,11.037,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.701313490708696,0,0
"14",17,"BUI-BH1-E-SUBSET-2.csv",14,370.277,83.32,28,1580,1168,12.724,21.145,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.669912148017615,0,0
"15",18,"BUI-BH1-E-SUBSET-2.csv",15,628.772,97.933,37.182,1650,1164,13.707,22.618,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.823426265864518,0,0
"16",19,"BUI-BH1-E-SUBSET-2.csv",16,120.321,45.033,17.107,1714,1157,168.111,9.692,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.745193937032502,0,0
"17",20,"BUI-BH1-E-SUBSET-2.csv",17,358.633,73.566,27.82,1533,1168,169.046,17.553,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",2,"BUI-BH1-E-2",88940.208,2,2,2,0,2,0,0.832310939648679,0,0
"18",21,"BUI-BH1-E-SUBSET-3.csv",1,750.645,109.663,40.872,1521,1371,172.569,25.336,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.783978207328122,0,0
"19",22,"BUI-BH1-E-SUBSET-3.csv",2,101.69,38.501,15.387,1459,1370,13.241,9.692,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.86163606217681,0,0
"20",23,"BUI-BH1-E-SUBSET-3.csv",3,179.317,52.295,20.738,1452,1394,167.735,12.335,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.823551512582685,0,0
"21",24,"BUI-BH1-E-SUBSET-3.csv",4,340.003,74.598,25.368,1624,1400,159.677,20.264,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.767393330488296,0,0
"22",25,"BUI-BH1-E-SUBSET-3.csv",5,600.05,93.075,34.406,1469,1429,166.675,24.518,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.869983447479566,0,0
"23",26,"BUI-BH1-E-SUBSET-3.csv",6,105.572,42.327,17.31,1425,1424,165.256,7.93,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.740122167672955,0,0
"24",27,"BUI-BH1-E-SUBSET-3.csv",7,1032.428,122.124,44.246,1545,1448,12.653,31.473,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.869455527064295,0,0
"25",28,"BUI-BH1-E-SUBSET-3.csv",8,142.056,45.549,17.107,1619,1436,11.889,11.454,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.859986289726857,0,0
"26",29,"BUI-BH1-E-SUBSET-3.csv",9,208.038,59.13,23.51,1417,1434,167.005,11.712,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.747337115384302,0,0
"27",31,"BUI-BH1-E-SUBSET-3.csv",11,305.847,68.368,25.928,1472,1468,170.218,15.859,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.821841586334803,0,0
"28",32,"BUI-BH1-E-SUBSET-3.csv",12,736.673,110.305,37.639,1589,1473,159.444,28.441,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.76045583077285,0,0
"29",33,"BUI-BH1-E-SUBSET-3.csv",13,1080.557,128.958,45.747,1522,1486,164.358,31.115,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.816095047553851,0,0
"30",34,"BUI-BH1-E-SUBSET-3.csv",14,166.12,50.836,19.878,1376,1513,167.196,11.423,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.807362957601171,0,0
"31",35,"BUI-BH1-E-SUBSET-3.csv",15,201.828,56.033,22.652,1408,1540,166.504,12.068,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.807389887668237,0,0
"32",36,"BUI-BH1-E-SUBSET-3.csv",16,578.315,93.591,36.123,1454,1544,167.32,22.907,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.829250841762648,0,0
"33",37,"BUI-BH1-E-SUBSET-3.csv",17,572.105,92.433,34.91,1422,1568,169.824,21.145,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.841029608369768,0,0
"34",38,"BUI-BH1-E-SUBSET-3.csv",18,732.791,107.171,39.755,1495,1576,167.196,25.203,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.801337007742443,0,0
"35",39,"BUI-BH1-E-SUBSET-3.csv",19,337.674,78.852,27.666,1593,1570,170.838,18.502,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.682121652222866,0,0
"36",40,"BUI-BH1-E-SUBSET-3.csv",20,352.423,74.598,28.441,1355,1579,163.811,17.095,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.795425510100431,0,0
"37",41,"BUI-BH1-E-SUBSET-3.csv",21,110.229,39.319,14.769,1379,1606,162.646,9.692,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.895530907196896,0,0
"38",42,"BUI-BH1-E-SUBSET-3.csv",22,135.07,44.517,16.246,1436,1609,167.471,11.423,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.856045325602961,0,0
"39",43,"BUI-BH1-E-SUBSET-3.csv",23,179.317,59.344,22.907,1531,1622,22.62,12.335,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.639524919746267,0,0
"40",44,"BUI-BH1-E-SUBSET-3.csv",24,541.831,93.377,35.637,1483,1645,8.531,20.264,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.780501342695361,0,0
"41",45,"BUI-BH1-E-SUBSET-3.csv",25,635.759,100.425,36.805,1447,1674,11.041,22.026,"BUI-BH1","BUI","BH","BUI-BH","BUI-BH1-E",3,"BUI-BH1-E-3",97303.654,1,2,2,0,2,0,0.791768966458149,0,0
