image_id,damage_whole,damage_pic,folds,warped,late_season_missing,damage_sub1,damage_sub2,damage_sub3
BUI-BH1-E,2,2,2,0,0,2,2,1
BUI-BH1-N,2,3,0,0,0,0,2,3
BUI-BH1-S,2,4,0,0,0,4,3,3
BUI-BH1-W,2,2,0,0,0,2,2,2
BUI-BH2-E,4,2,0,0,0,2,3,3
BUI-BH2-N,4,4,0,1,0,NA,3,3
BUI-BH2-S,4,4,0,0,0,3,2,NA
BUI-BH2-W,4,4,0,0,1,3,1,NA
BUI-BH3-E,3,1,0,0,0,1,1,2
BUI-BH3-N,3,2,0,0,0,2,2,2
BUI-BH3-S,3,2,0,0,1,1,2,2
BUI-BH3-W,3,2,3,0,0,1,1,1
BUI-BH4-E,2,2,0,0,0,1,1,1
BUI-BH4-N,2,1,0,0,0,1,1,1
BUI-BH4-S,2,3,0,0,0,2,3,2
BUI-BH4-W,2,2,0,0,0,2,2,1
BUI-BH5-E,2,3,0,1,0,1,2,3
BUI-BH5-N,2,1,0,0,1,2,1,1
BUI-BH5-S,2,3,0,0,0,3,2,2
BUI-BH5-W,2,2,1,1,0,2,3,2
BUI-BH6-E,2,2,1,0,0,2,3,2
BUI-BH6-N,2,2,0,1,0,1,1,2
BUI-BH6-S,2,2,0,0,0,0,0,0
BUI-BH6-W,2,3,0,0,1,NA,2,1
BUI-BH7-E,3,3,0,0,0,2,2,1
BUI-BH7-N,3,4,0,0,0,4,4,3
BUI-BH7-S,3,4,0,0,0,3,2,2
BUI-BH7-W,3,4,0,0,0,3,3,3
BUI-FH1-E,2,0,0,0,0,0,0,0
BUI-FH1-N,2,3,0,0,0,3,1,0
BUI-FH1-S,2,2,0,1,0,4,3,1
BUI-FH1-W,2,3,2,0,0,3,2,2
BUI-FH2-E,2,4,0,1,0,4,4,4
BUI-FH2-N,2,3,0,0,0,2,2,1
BUI-FH2-S,2,4,0,1,0,2,2,4
BUI-FH2-W,2,2,0,1,0,4,4,4
BUI-FH3-E,4,5,0,1,1,4,5,4
BUI-FH3-N,4,1,0,0,0,4,2,2
BUI-FH3-S,4,0,0,0,0,1,1,1
BUI-FH3-W,4,3,0,0,1,3,NA,NA
BUI-FH4-E,2,1,0,0,0,0,1,1
BUI-FH4-N,2,1,0,0,0,1,1,1
BUI-FH4-S,2,2,0,1,0,2,1,2
BUI-FH4-W,2,2,1,0,0,3,3,2
BUI-FH5-E,2,2,0,0,0,2,2,2
BUI-FH5-N,2,3,1,1,0,3,1,1
BUI-FH5-S,2,1,0,0,0,1,1,1
