 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,276.349,74.082,23.510,1116,747,167.005,17.975
2,692.426,103.861,37.844,1204,839,12.095,25.032
3,583.749,93.075,29.969,1109,858,65.695,27.124
4,191.737,51.566,18.979,1127,873,21.801,14.097
5,684.663,116.749,35.994,1139,934,158.459,28.035
6,406.761,87.965,34.642,1263,954,172.694,15.859
7,129.636,53.755,19.403,1119,990,50.528,12.542
8,786.353,111.123,40.872,1226,1004,172.569,26.468
9,170.001,60.162,25.793,1297,1023,172.147,8.811
10,125.754,52.900,22.463,1304,1038,11.310,7.909
11,117.992,44.819,18.523,1260,1083,25.346,8.637
12,329.135,79.155,31.913,1264,1089,6.340,14.753
13,577.539,92.861,32.694,1280,1104,165.964,24.018
14,125.754,50.622,22.026,1350,1096,106.260,8.401
