 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,100.138,41.295,16.246,1512,940,12.529,8.811
2,282.559,82.502,29.341,1564,1030,41.348,15.575
3,377.263,86.328,25.611,1640,1051,49.185,21.732
4,550.370,93.502,33.723,1189,1039,160.145,24.823
5,100.914,42.239,16.389,1468,1048,36.254,9.968
6,241.417,61.231,22.097,1408,1064,23.499,15.575
7,121.097,47.739,16.624,1497,1061,32.005,11.806
8,497.584,88.304,30.137,1251,1074,15.255,23.961
9,723.476,103.220,34.316,1405,1127,150.803,28.419
10,283.336,76.788,25.245,1528,1198,29.249,18.434
11,104.019,41.295,15.004,1198,1234,139.764,10.879
12,488.269,106.353,31.225,1400,1271,163.610,26.953
