 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,169.225,52.295,20.341,1238,705,107.650,12.259
2,600.050,95.869,32.071,1174,812,74.055,27.313
3,201.828,58.098,20.942,1355,776,112.249,13.524
4,639.640,110.821,33.212,1188,848,68.199,29.597
5,228.221,61.017,19.563,1198,873,97.765,16.996
6,875.623,139.656,48.169,1386,892,129.806,30.086
7,135.070,57.279,18.586,1170,903,95.440,12.673
8,112.558,43.271,15.612,1449,911,106.390,11.008
9,1013.022,152.721,43.530,1215,974,54.058,35.008
10,732.791,117.995,44.035,1314,930,109.885,25.301
11,126.531,43.271,16.717,1370,943,161.565,10.886
12,112.558,48.255,16.198,1191,976,67.620,12.460
13,120.321,41.811,15.387,1349,967,103.241,10.573
14,128.859,44.215,16.078,1389,1007,170.538,12.538
15,133.517,49.501,17.107,1380,1035,34.509,13.216
16,719.595,119.845,35.473,1319,1029,104.381,28.764
17,156.029,61.445,25.414,1347,1045,123.690,9.250
18,725.805,114.861,35.077,1113,1086,78.408,29.956
19,1047.177,152.116,42.529,1146,1059,129.958,38.751
20,222.011,73.050,26.505,1364,1070,111.448,12.052
21,111.782,50.320,18.078,1482,1074,133.025,11.222
22,655.165,109.486,40.182,1296,1084,127.875,23.674
23,548.817,92.861,32.789,1464,1091,120.700,24.797
24,738.225,105.837,36.794,1205,1142,73.301,27.076
25,167.673,51.993,19.799,1536,1109,159.146,14.050
26,128.083,48.255,18.855,1288,1189,127.405,10.938
