 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,350.094,81.256,28.413,1689,1365,7.125,19.027
2,213.472,68.493,24.048,1636,1368,171.573,14.769
3,134.293,51.566,22.237,1664,1383,146.310,10.044
4,118.768,44.001,14.531,1470,1386,104.036,12.095
5,109.453,51.691,18.523,1649,1396,154.654,10.019
6,569.000,109.486,32.071,1449,1423,127.185,26.746
7,651.284,103.345,36.899,1490,1462,146.689,25.018
8,428.497,83.534,29.195,1652,1472,5.194,21.091
9,114.111,50.836,19.701,1315,1481,10.305,9.692
10,100.138,40.993,16.389,1629,1484,143.746,9.041
11,425.392,82.465,29.617,1489,1497,157.249,19.383
12,130.412,54.574,22.026,1280,1498,163.740,8.594
13,371.053,84.994,31.840,1271,1510,165.579,16.219
14,393.565,94.409,29.088,1598,1513,125.134,24.355
15,762.289,134.067,37.926,1384,1532,92.663,29.075
