 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,506.123,92.345,33.072,1970,261,131.760,23.058
2,542.607,100.248,38.049,1995,316,137.816,19.880
3,823.614,119.845,45.950,1894,321,122.471,27.124
4,495.255,92.772,34.009,2068,365,126.573,21.419
5,793.340,118.083,42.364,1812,383,106.928,25.899
6,115.663,48.255,19.563,1850,392,125.838,10.549
7,565.119,98.272,36.899,1956,397,123.311,21.574
8,559.685,97.115,37.484,1758,417,119.578,20.146
9,506.123,90.796,31.828,2039,424,131.634,22.979
10,140.503,50.533,20.436,1798,425,97.431,10.540
11,464.205,86.026,32.492,1859,429,139.399,19.936
12,103.243,40.477,17.107,1918,440,145.491,8.722
13,881.057,120.059,42.620,1840,452,119.745,29.568
14,129.636,48.041,16.624,1892,451,122.005,12.408
15,666.809,110.305,37.639,1986,452,122.574,24.780
16,111.005,44.517,19.060,1722,454,123.690,8.308
17,394.341,87.486,31.250,1922,456,111.501,18.379
18,539.502,98.575,29.722,2101,472,168.024,27.313
19,899.688,136.346,43.770,1792,487,130.101,31.034
20,562.014,95.780,33.492,1966,486,116.565,23.682
21,348.542,70.042,23.127,2045,487,107.745,20.264
22,410.643,83.623,33.072,1750,500,131.760,18.913
23,609.366,98.752,34.316,2074,540,131.878,26.070
24,1113.160,132.092,43.814,1912,550,105.154,37.076
25,131.965,52.723,17.621,2131,551,126.870,11.837
26,621.010,99.909,35.088,2000,565,151.504,25.551
27,217.353,58.525,22.975,1858,574,122.471,12.609
28,521.648,88.820,31.287,1988,590,122.347,24.028
29,391.236,80.010,29.604,1878,612,126.529,18.690
30,507.675,85.385,29.168,1911,622,115.017,23.789
31,117.216,39.747,13.791,1977,677,153.435,11.937
32,478.177,85.296,28.000,1917,680,114.146,23.383
