 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,301.966,72.748,24.369,999,1322,167.471,17.621
2,256.943,61.836,21.761,1156,1368,111.371,17.621
3,435.483,90.192,30.137,1089,1374,105.255,21.182
4,114.887,51.477,18.586,1322,1376,148.570,10.973
5,301.966,72.232,24.496,1023,1407,142.306,18.067
6,221.235,72.534,23.327,1200,1414,10.886,13.996
7,148.266,52.207,17.310,999,1432,165.256,13.216
8,164.568,61.534,20.091,1029,1440,164.745,12.184
9,343.108,77.090,26.196,1440,1455,19.654,17.621
10,100.138,38.501,14.769,1275,1451,162.646,10.471
11,118.768,42.239,14.978,1248,1456,151.928,11.454
12,250.733,62.050,20.644,1318,1458,140.194,17.534
13,114.111,47.437,15.687,1166,1460,128.157,11.214
14,247.628,67.461,22.307,1100,1482,9.090,16.740
15,366.396,78.550,25.687,1316,1488,157.834,19.383
16,180.869,58.953,18.586,1441,1519,5.440,15.205
17,151.371,45.549,16.174,1202,1525,29.358,13.652
18,167.673,58.312,18.855,1300,1529,127.405,13.615
19,608.589,104.075,32.777,951,1551,143.746,25.516
20,326.806,78.248,25.060,1111,1563,169.875,18.502
21,517.767,94.748,29.969,1010,1567,155.695,24.082
22,411.419,80.740,25.913,1404,1599,162.181,22.026
23,168.449,55.429,18.334,1461,1623,54.782,13.706
24,164.568,63.421,20.568,1192,1614,170.134,13.216
25,138.951,51.263,17.818,997,1671,171.469,12.335
26,280.231,77.429,24.575,1389,1703,165.466,16.822
