 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,250.733,78.034,22.583,1320,794,159.444,19.103
2,161.462,49.074,18.078,1270,825,46.975,13.791
3,228.221,55.090,18.979,1298,833,158.199,15.859
4,367.172,71.074,23.967,1197,849,162.897,21.145
5,341.555,72.106,23.723,1290,873,58.671,20.264
6,216.577,54.058,17.840,1170,855,159.775,16.740
7,146.714,45.763,15.883,1102,896,33.690,13.216
8,276.349,63.598,21.509,1269,885,124.992,18.667
9,531.739,88.695,31.287,1244,919,57.653,24.670
10,427.720,77.820,26.284,1326,912,13.570,22.459
11,448.679,79.155,26.898,1134,906,148.392,23.789
12,232.102,56.763,20.091,1182,937,74.745,16.524
13,151.371,57.582,22.874,1372,961,74.358,11.175
14,223.563,55.820,19.701,1195,957,63.435,16.198
15,406.761,77.304,25.793,1108,966,172.147,21.854
16,337.674,71.074,23.805,1243,977,38.991,20.264
17,409.090,81.131,27.027,1038,961,109.026,20.507
18,494.479,87.058,28.372,1062,977,115.769,25.217
19,427.720,100.764,30.824,1357,1025,59.036,24.291
20,334.569,85.082,28.413,1097,1029,82.875,17.621
21,310.505,72.836,24.575,1166,1006,104.534,19.278
22,541.055,86.756,29.288,1288,1043,74.291,24.920
23,562.014,103.772,33.025,1138,1026,99.211,25.690
24,389.683,77.606,28.468,1190,1045,111.801,18.502
25,492.150,106.139,32.599,1219,1049,108.925,20.828
26,150.595,48.557,18.732,1342,1073,48.814,12.460
27,388.907,85.901,29.617,1292,1108,67.249,21.145
28,184.750,50.533,17.731,1072,1095,116.565,14.978
29,489.821,91.615,32.312,1181,1137,78.996,22.907
30,419.181,82.074,28.111,1263,1134,57.804,19.782
31,122.649,44.001,16.554,1329,1125,64.799,10.263
32,106.348,40.049,14.343,1337,1131,47.490,11.134
33,165.344,49.074,17.555,1291,1150,72.474,12.707
34,497.584,94.107,28.468,1108,1167,68.199,24.358
35,271.692,61.747,22.583,1204,1165,69.444,16.861
36,281.783,63.082,21.310,1228,1165,60.255,18.498
37,701.741,100.764,34.765,1042,1144,98.746,28.346
38,220.458,58.312,21.796,1328,1181,75.964,14.561
39,281.007,65.058,22.079,1348,1179,61.390,18.250
40,258.495,60.804,20.887,1262,1169,117.646,18.389
41,393.565,75.114,27.027,1056,1231,70.974,20.264
42,402.880,77.732,28.536,1024,1239,81.119,21.597
43,158.357,46.582,16.717,1184,1225,71.565,12.335
44,100.138,43.573,15.387,1158,1235,76.759,8.811
45,388.131,74.384,25.245,1079,1274,60.751,21.453
46,388.907,78.852,30.584,1002,1261,101.634,18.235
