 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,192.513,62.263,22.652,1074,104,166.504,14.553
2,783.248,116.623,38.131,1181,180,49.686,30.557
3,610.918,101.885,38.252,1248,167,172.057,21.946
4,350.870,91.401,30.381,1244,192,16.858,19.383
5,614.799,109.147,35.994,1083,196,158.459,26.190
6,814.299,111.942,40.615,1282,225,167.471,26.432
7,679.229,101.583,34.910,1124,226,137.045,25.611
8,385.802,79.494,28.413,1077,258,172.875,19.782
9,374.158,75.328,27.027,1204,257,160.974,18.082
10,355.528,93.502,26.151,1328,266,147.381,20.777
11,117.216,49.074,20.942,1632,267,157.751,8.887
12,545.712,95.353,36.476,1450,274,142.853,21.596
13,227.445,64.969,24.873,1392,282,157.068,13.262
14,614.799,108.329,36.476,1628,288,142.853,25.611
15,625.667,117.176,41.792,1371,294,161.565,21.850
16,231.326,59.042,22.463,1144,304,168.690,14.978
17,575.986,97.115,31.938,1254,298,155.556,27.313
18,497.584,102.187,38.384,1562,308,170.754,19.383
19,112.558,43.787,17.555,1218,320,162.474,9.415
20,246.075,76.788,25.199,1078,327,143.531,16.740
21,107.900,45.549,17.310,1435,334,165.256,8.811
22,634.206,103.131,38.039,1040,350,166.608,22.171
23,748.316,110.305,41.269,1530,350,163.887,24.614
24,782.472,110.091,37.339,1378,352,160.710,29.075
25,1184.576,150.782,47.878,1642,368,167.242,38.003
26,576.763,92.861,31.150,1214,368,171.870,24.670
27,831.377,113.313,38.131,1168,364,139.686,29.946
28,187.079,64.328,25.230,1046,367,167.905,11.732
29,792.563,114.773,40.269,1474,379,169.919,27.039
30,222.787,67.550,26.637,980,397,34.216,13.791
31,885.715,145.975,49.418,1547,399,168.690,23.168
32,186.303,57.582,23.327,1346,398,10.886,11.454
33,876.400,119.329,41.033,1717,406,165.069,27.842
34,724.252,121.696,38.384,1424,402,148.134,28.636
35,491.374,100.212,34.855,1032,414,20.726,19.687
36,335.345,76.574,29.917,1887,404,166.373,15.378
37,416.853,100.764,33.306,1145,410,142.524,23.878
38,222.787,68.582,25.928,1556,418,170.218,12.608
39,912.884,150.870,43.743,1498,441,161.200,30.340
40,1110.055,146.830,42.738,1606,457,165.677,37.702
41,343.884,92.558,29.062,1056,451,165.964,16.844
42,593.840,94.107,32.895,1346,458,172.304,25.551
43,646.626,100.551,37.057,1406,456,151.607,24.680
44,499.913,99.732,34.316,1678,458,150.803,22.459
45,921.423,118.813,40.221,1569,471,151.189,32.396
46,812.746,139.265,43.991,1725,472,147.265,28.758
47,255.390,64.542,25.429,1776,472,165.964,14.958
48,732.015,111.639,38.777,1226,476,158.682,27.665
49,763.842,122.337,39.333,1852,492,15.593,28.170
50,1309.554,161.140,52.569,1506,503,166.430,36.014
51,459.547,101.280,32.706,1706,506,152.745,22.787
52,931.514,117.958,40.615,1390,507,155.659,31.718
53,183.198,53.025,20.550,1296,516,149.036,13.003
54,275.573,77.732,23.510,1268,530,12.995,18.067
55,555.804,93.414,30.419,1343,531,169.992,25.551
56,150.595,56.852,19.878,1854,537,167.196,11.298
57,346.989,81.558,29.288,1273,544,164.291,18.163
58,171.554,59.042,23.059,1844,564,173.418,10.573
59,634.982,98.877,34.553,1532,576,160.641,25.551
60,330.688,90.494,27.666,1438,574,142.765,18.814
61,1294.805,159.806,47.756,1607,590,150.124,38.853
62,350.870,82.288,30.278,1772,588,171.634,17.621
63,312.834,72.622,27.596,1821,613,163.301,15.859
64,465.757,105.837,32.919,1772,629,164.476,24.670
65,369.501,87.058,25.199,1798,687,36.469,23.292
