 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,324.477,68.493,25.793,694,781,7.853,18.502
2,173.106,52.509,19.019,659,793,13.392,13.073
3,313.610,68.582,25.060,716,811,10.125,16.668
4,138.951,58.525,19.343,689,860,120.069,13.853
5,107.900,39.747,14.450,667,884,52.431,11.168
6,683.110,101.067,32.156,665,927,9.462,28.420
7,268.587,66.731,25.075,624,984,18.435,15.897
8,120.321,40.993,15.004,600,1019,49.764,11.008
9,433.930,78.336,26.446,618,1049,60.018,22.291
10,221.235,58.312,18.979,592,1058,21.801,16.740
11,794.116,135.830,43.351,613,1132,52.431,26.858
12,459.547,81.131,29.969,598,1156,24.305,21.369
