 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,216.577,56.550,20.738,1639,808,167.735,14.978
2,353.199,78.978,26.505,1560,868,21.448,19.769
3,119.544,42.541,15.883,1601,876,160.560,11.423
4,142.056,56.763,19.019,1501,943,13.392,12.215
5,246.075,65.574,24.543,1541,949,21.038,14.080
6,298.085,72.748,25.429,1554,981,165.964,17.309
7,109.453,41.509,17.310,1511,986,165.256,8.811
8,311.281,86.240,28.981,1468,1058,70.463,20.124
9,204.933,59.255,22.026,1477,1063,143.130,14.952
10,187.079,67.764,22.184,1575,1083,6.843,15.859
