 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,156.029,48.985,16.763,1613,233,176.987,14.097
2,255.390,66.001,22.975,1634,282,32.471,17.157
3,521.648,90.583,33.665,1677,269,137.121,22.428
4,536.397,88.393,30.381,1510,296,29.539,23.961
5,333.016,79.066,30.008,1577,298,40.236,16.237
6,428.497,81.861,30.546,1532,324,33.232,19.993
7,374.158,73.264,24.732,1700,303,94.086,21.387
8,612.471,94.837,32.035,1567,344,31.504,27.026
9,245.299,61.017,22.975,1610,338,32.471,15.330
10,712.608,101.760,36.327,1603,385,50.906,27.660
11,203.381,55.304,20.130,1743,371,156.801,14.808
12,520.095,86.328,29.538,1695,402,72.646,23.933
13,402.880,81.042,28.413,1653,410,60.255,21.671
14,618.681,96.385,32.071,1721,386,142.815,26.956
15,451.008,83.623,28.699,1779,434,72.121,22.024
16,358.633,72.409,26.284,1813,409,129.560,20.044
17,123.426,43.271,16.389,1757,426,53.746,11.008
18,128.859,44.731,16.198,1661,434,45.000,10.870
19,218.130,58.828,21.016,1683,457,56.976,15.216
20,426.168,92.772,30.584,1748,475,48.504,21.420
21,315.939,68.582,24.951,1712,472,47.862,18.067
22,392.789,78.034,28.807,1755,489,23.429,19.469
23,626.443,96.171,35.517,1858,477,133.995,25.543
24,532.516,87.058,31.150,1722,505,171.870,23.720
25,780.143,106.353,36.508,1822,507,98.326,29.075
