 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,791.787,110.519,35.088,1126,858,151.504,30.790
2,285.664,68.884,24.496,1315,853,127.694,15.933
3,925.304,119.204,38.049,1254,852,132.184,33.703
4,217.353,58.098,21.182,1186,877,73.072,14.097
5,387.355,82.288,27.525,1062,882,39.806,20.305
6,325.254,67.550,23.510,1303,893,77.005,18.591
7,191.737,59.771,20.091,1217,894,52.125,14.097
8,111.782,42.025,15.056,1083,893,69.444,10.043
9,222.787,58.312,19.563,1395,896,54.162,15.627
10,136.622,45.763,16.833,1112,914,83.991,11.454
11,198.723,58.525,22.737,1355,902,125.538,13.706
12,416.853,79.796,26.854,1264,907,131.009,21.805
13,173.106,54.574,20.436,1084,905,97.431,12.335
14,392.012,80.828,26.970,1222,909,128.367,21.139
15,197.171,53.328,19.563,1395,913,144.162,14.978
16,514.662,93.288,31.225,1127,950,73.610,22.908
17,228.997,61.747,22.907,1348,916,112.620,15.367
18,267.810,76.574,25.793,1189,950,82.147,14.202
19,364.067,76.058,28.372,1205,924,126.158,17.731
20,902.793,119.845,39.804,1367,953,152.301,32.500
21,375.711,73.352,25.687,1154,941,95.906,19.383
22,964.894,120.575,39.125,1253,951,144.162,33.886
23,479.730,94.837,32.023,1310,948,97.907,21.829
24,475.849,96.599,35.110,1078,953,107.526,18.666
25,436.259,94.232,33.665,1364,975,132.879,19.559
26,462.652,85.599,28.372,1335,1014,64.231,22.026
27,685.439,104.805,33.166,1275,1010,140.389,29.051
28,521.648,90.280,27.861,1240,1013,124.695,25.551
29,361.738,75.756,26.284,1212,1023,103.570,19.307
30,493.703,85.599,27.861,1095,1042,161.565,24.670
31,454.889,106.781,35.778,1328,1040,127.999,18.000
32,597.722,96.385,31.250,1172,1043,111.501,27.187
33,505.347,88.304,29.088,1254,1077,35.134,24.797
34,680.782,111.765,36.899,1398,1063,146.689,25.324
35,610.918,97.845,34.361,1294,1079,157.380,24.518
