 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,194.842,56.033,21.310,1056,1341,29.745,13.907
2,414.524,82.590,32.312,1072,1352,11.004,18.502
3,176.211,55.090,19.403,969,1371,39.472,14.399
4,138.951,51.566,21.310,991,1375,29.745,10.920
5,119.544,41.295,14.769,891,1366,162.646,11.404
6,128.083,45.033,17.970,1101,1371,168.690,10.573
7,131.188,52.598,23.410,988,1399,19.799,8.548
8,227.445,60.804,21.796,873,1409,14.036,16.341
9,857.769,111.337,38.706,783,1432,11.821,29.692
10,102.467,43.360,18.690,702,1415,171.870,7.048
11,452.561,92.558,31.287,1118,1443,9.728,21.009
12,315.162,75.114,23.410,1078,1433,160.201,20.264
13,132.741,51.049,16.925,653,1451,128.660,12.707
14,903.569,120.575,44.053,888,1492,16.260,28.976
15,131.188,44.303,17.107,1125,1481,11.889,10.573
16,600.827,99.909,36.123,693,1489,12.680,22.289
17,1405.034,142.664,47.422,720,1532,35.166,39.232
18,767.723,105.107,36.327,844,1517,14.036,28.697
19,735.896,104.679,34.009,786,1524,36.573,30.497
20,135.846,57.582,22.026,1002,1507,16.260,10.503
21,587.630,101.671,40.615,982,1529,12.529,20.617
22,893.477,115.982,39.402,1081,1540,10.305,29.075
23,120.321,45.549,18.163,1182,1535,22.834,8.975
24,963.341,121.482,43.387,832,1551,167.093,27.827
25,1059.598,129.474,46.596,996,1564,15.350,30.837
26,988.181,123.458,42.520,905,1565,174.053,31.500
27,723.476,114.131,43.199,760,1573,11.768,23.568
28,520.095,90.369,32.694,1142,1588,14.036,21.489
29,385.802,76.877,28.766,1056,1584,152.650,18.316
30,115.663,46.582,19.878,1186,1596,12.804,7.930
31,110.229,49.287,20.341,1154,1603,17.650,7.668
32,1217.955,139.442,45.696,787,1640,33.996,36.123
33,371.053,92.470,25.060,749,1617,169.875,22.428
34,869.413,113.188,39.333,917,1648,15.593,29.956
35,275.573,73.138,28.317,1155,1655,5.356,14.097
36,121.873,51.138,22.463,1062,1664,11.310,7.539
37,110.229,42.327,18.163,1258,1669,22.834,8.601
38,149.819,46.493,17.488,875,1677,40.914,11.837
39,451.008,81.861,28.861,881,1690,12.339,21.145
40,510.004,108.934,39.402,1130,1693,10.305,19.151
41,627.996,105.196,42.364,847,1727,16.928,20.777
42,908.226,121.910,47.126,859,1752,20.807,26.468
43,107.124,45.763,19.563,948,1736,35.838,8.282
