 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,258.495,61.320,20.283,1103,779,55.620,17.679
2,368.724,83.925,30.988,1154,764,104.826,16.740
3,469.638,88.820,33.550,1183,811,76.329,21.892
4,289.546,65.058,22.289,1093,794,161.565,18.161
5,588.407,93.679,33.177,1267,832,79.287,22.846
6,263.153,70.130,28.441,1288,833,73.811,12.530
7,713.385,103.559,34.765,1092,810,98.746,27.313
8,523.201,88.607,31.767,1325,854,70.560,23.078
9,735.896,104.805,35.088,1137,858,51.116,28.369
10,872.518,111.639,39.006,1201,864,71.565,29.956
11,836.034,113.792,40.767,1254,855,96.203,25.111
12,446.351,86.203,32.023,1282,862,97.907,18.502
13,730.462,103.220,38.039,1348,868,103.392,23.789
14,544.936,89.123,31.583,1073,910,67.011,23.499
15,211.143,71.074,23.327,1378,926,79.114,14.097
16,571.329,91.615,33.550,1098,908,103.671,23.175
17,656.718,111.639,37.515,1033,955,80.538,25.551
18,598.498,99.821,31.767,1309,919,109.440,26.141
19,818.956,128.781,37.926,1163,971,59.265,30.837
20,963.341,119.115,41.885,1244,994,67.751,31.086
21,220.458,57.582,22.463,1102,992,101.310,12.958
22,143.608,44.517,16.078,1350,993,99.462,12.335
23,665.256,96.599,32.324,1071,1033,72.553,28.194
24,919.094,139.354,40.260,1151,1045,66.801,31.774
25,204.933,57.279,22.026,1194,1029,73.740,13.462
26,459.547,87.272,28.468,1269,1054,68.199,23.947
27,850.007,111.639,38.896,1339,1078,76.908,29.956
28,634.206,95.353,30.419,1014,1073,79.992,27.581
29,216.577,55.090,19.503,1064,1072,71.565,14.978
30,947.816,120.361,40.986,1282,1102,64.537,33.091
31,718.042,102.704,34.910,1226,1113,79.824,27.313
32,306.623,64.328,21.671,1144,1096,26.565,19.383
33,666.033,117.265,37.670,1266,1113,100.784,29.434
34,284.888,76.574,23.805,1315,1154,51.009,19.044
