 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,422.286,78.852,26.284,1214,161,39.560,22.026
2,700.188,100.728,36.805,1256,192,11.041,23.789
3,824.390,114.345,40.356,1040,204,36.119,29.384
4,690.097,129.511,41.885,937,207,14.621,26.251
5,700.965,105.107,39.579,984,219,16.821,24.417
6,933.843,120.450,41.071,1136,235,22.714,30.771
7,835.258,121.696,48.080,1047,231,13.782,27.313
8,915.213,113.704,36.720,1270,239,30.256,32.599
9,135.070,46.368,18.523,1006,243,25.346,9.692
10,196.394,58.614,24.048,1043,239,171.573,11.037
11,163.791,56.550,21.455,1111,280,19.179,11.137
12,714.161,105.925,39.755,1017,294,167.196,24.360
13,1129.461,157.919,50.903,1146,327,23.459,32.104
14,525.529,91.615,34.910,986,329,10.176,21.145
15,402.104,76.788,26.151,1252,342,32.619,21.805
16,1036.310,148.680,44.482,1318,342,172.030,34.928
17,593.840,109.236,41.643,973,358,6.072,20.180
18,169.225,61.622,25.075,1077,354,18.435,11.008
19,103.243,46.279,19.243,1016,371,15.945,7.523
20,1020.784,120.877,39.892,1293,420,59.470,34.645
21,676.124,113.188,45.106,1027,396,12.407,20.430
22,165.344,51.049,18.334,1229,403,54.782,12.890
23,148.266,46.065,16.460,981,400,15.524,12.335
24,143.608,52.082,21.182,1232,410,16.928,10.257
25,564.342,95.353,35.264,1075,425,12.995,22.907
26,582.973,92.558,31.150,1251,432,8.130,26.166
27,142.832,47.739,17.970,1229,420,11.310,11.309
28,110.229,41.081,15.883,1054,430,19.440,9.402
29,1134.895,146.527,43.037,1180,467,67.109,36.757
30,712.608,109.361,37.957,1127,449,21.801,25.929
31,123.426,52.384,23.127,1024,437,17.745,7.336
32,385.026,78.550,28.861,1351,458,12.339,18.252
33,475.849,83.836,30.317,1066,472,35.538,21.671
34,131.965,46.795,17.107,1128,466,11.889,11.750
35,836.034,117.958,39.254,1305,493,44.091,27.998
36,799.550,109.575,39.402,993,486,10.305,28.345
37,100.914,41.811,16.947,1076,497,27.897,8.811
38,108.677,41.509,15.056,1227,522,20.556,10.529
39,814.299,118.990,46.253,1083,540,17.745,24.622
40,104.019,46.154,20.130,998,528,23.199,6.928
41,772.381,111.426,43.037,1010,554,22.891,23.269
