 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,954.026,119.329,41.559,1142,824,147.995,31.150
2,553.475,99.909,32.324,1196,866,72.553,25.446
3,632.653,100.337,36.295,1351,873,84.428,25.001
4,728.134,105.107,35.242,1059,839,126.870,28.658
5,752.974,112.797,35.680,1284,849,110.225,29.489
6,266.258,61.836,20.283,1170,864,124.380,18.194
7,781.696,107.599,35.418,1199,893,5.711,30.837
8,533.292,87.574,28.590,1360,896,33.690,25.169
9,1061.150,123.370,40.433,1283,947,78.690,35.047
10,206.486,62.868,25.368,1393,935,69.677,12.335
11,831.377,109.877,37.057,1097,913,118.393,30.837
12,641.192,95.353,30.950,1192,930,175.101,27.954
13,641.192,96.813,31.485,1140,934,107.928,28.077
14,234.431,65.272,24.873,1358,980,67.068,15.575
15,860.098,111.942,35.962,1204,969,149.036,31.896
16,137.398,45.033,15.883,1165,991,56.310,12.107
17,106.348,42.541,16.246,1153,992,102.529,10.573
18,121.097,41.295,14.664,1211,1014,147.265,12.335
19,107.124,39.017,13.449,1070,1015,148.392,11.454
20,562.790,101.885,33.434,1137,1029,108.435,25.038
21,324.477,78.764,26.490,1261,1044,3.814,19.895
22,454.113,88.304,32.789,1408,1050,96.170,20.264
23,261.600,61.836,23.177,1169,1077,81.254,14.978
24,336.121,73.050,28.441,1090,1092,73.811,17.337
25,284.888,70.860,28.807,1322,1093,66.571,14.488
26,117.992,43.057,16.246,1180,1112,77.471,9.692
27,653.613,106.781,36.327,1327,1141,75.964,26.941
28,520.095,108.934,42.005,1249,1149,80.340,16.711
29,399.775,93.075,32.611,1124,1123,91.548,19.383
30,124.202,45.336,18.690,1210,1146,81.870,8.811
31,153.700,54.787,17.840,1086,1142,110.225,14.735
