 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,716.490,101.671,36.678,1212,620,24.102,28.140
2,156.805,56.550,16.947,1160,603,117.897,14.097
3,187.079,52.812,19.060,1240,650,56.310,13.931
4,121.873,41.723,14.343,1332,634,100.620,12.687
5,600.827,95.869,31.583,1168,663,22.989,28.848
6,595.393,93.163,32.071,1312,677,74.055,24.670
7,390.460,73.780,25.687,1339,664,30.964,20.559
8,235.984,59.344,21.761,1229,713,68.629,14.097
9,902.016,114.950,37.926,1122,762,59.265,30.837
10,607.813,93.377,32.599,1164,762,71.075,25.551
11,566.671,92.345,30.419,1380,788,79.992,26.432
12,207.262,53.328,20.091,1404,780,52.125,14.723
13,496.031,84.566,27.666,1281,792,52.765,24.429
14,136.622,51.477,17.488,1140,785,40.914,11.821
15,103.243,38.073,13.216,1247,785,53.130,10.573
16,572.881,93.893,33.166,1164,812,39.611,25.217
17,745.988,105.409,36.220,1310,838,48.945,29.162
18,246.075,65.574,22.463,1114,827,41.820,17.000
19,1069.689,132.092,45.790,1222,836,168.906,37.885
20,699.412,124.829,36.794,1346,864,73.301,28.533
21,669.914,105.107,36.646,1118,872,62.819,28.974
22,400.551,82.377,29.617,1052,869,67.249,19.383
23,111.005,42.844,17.310,1077,865,75.256,7.930
24,213.472,61.320,21.292,1310,865,114.444,15.764
25,765.394,107.083,34.620,1283,909,75.256,30.837
26,474.296,87.361,30.837,1356,903,53.130,21.805
27,499.136,87.486,30.432,1027,914,67.891,22.975
28,148.266,46.582,17.621,1091,904,53.130,12.335
29,215.025,59.771,22.289,1322,925,71.565,15.261
30,430.825,82.377,29.722,1061,926,101.976,19.383
31,736.673,105.196,37.844,1037,978,77.905,26.432
32,124.202,42.327,15.158,1165,951,35.538,11.821
33,482.835,94.409,36.551,1088,987,74.624,18.193
34,659.823,97.417,35.209,1254,995,58.299,26.941
35,274.797,65.876,24.575,1110,961,104.534,14.978
36,371.829,78.941,32.071,1330,996,69.075,15.802
37,487.492,110.607,31.250,1305,1002,68.499,21.829
38,160.686,50.320,20.130,1136,994,66.801,11.404
39,111.782,41.598,15.387,1070,979,113.629,10.573
40,388.131,85.812,31.938,1362,1022,65.556,19.499
41,141.280,44.090,15.687,1184,1010,38.157,12.335
42,275.573,70.042,22.463,1294,1025,41.820,19.007
43,368.724,73.994,25.687,1086,1022,22.166,19.305
44,101.690,42.755,17.731,1268,1025,63.435,8.274
45,532.516,92.042,29.722,1056,1017,101.976,26.166
46,258.495,64.026,24.241,1318,1050,70.907,14.906
47,166.896,49.803,18.669,1115,1061,70.710,12.816
48,503.018,87.877,31.767,1281,1077,56.310,22.846
49,140.503,53.025,20.341,1258,1100,72.350,12.949
50,353.199,74.812,25.044,1333,1118,50.711,19.873
