 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,530.963,92.345,29.917,1549,690,166.373,24.360
2,401.327,82.590,28.468,1514,708,21.801,22.907
3,502.241,103.470,29.538,1565,776,72.646,25.902
4,220.458,64.328,21.814,1539,762,133.363,15.503
5,482.059,83.320,28.317,1562,813,5.356,23.506
6,794.116,116.535,40.739,1522,845,21.571,28.198
7,673.019,97.417,35.440,1591,954,55.125,26.789
8,183.974,54.574,18.855,1520,950,142.595,15.627
9,155.252,47.828,16.460,1523,1004,15.524,12.335
10,623.338,100.853,32.895,1526,1039,172.304,26.432
