 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,242.194,61.747,23.410,479,777,70.201,15.273
2,401.327,87.058,28.097,456,822,48.814,22.950
3,388.907,80.010,27.355,533,835,75.069,20.883
4,135.070,54.485,18.586,496,819,95.440,12.538
5,321.372,75.542,28.317,550,864,84.644,17.444
6,286.441,73.050,24.480,464,865,59.744,17.719
7,338.450,86.240,29.288,596,901,68.839,17.176
8,246.851,75.026,25.687,601,946,67.834,16.366
9,491.374,94.623,33.734,632,954,49.236,22.487
10,218.906,59.255,19.343,678,963,120.069,15.959
11,247.628,74.207,22.975,711,1004,32.471,17.444
12,454.889,82.590,28.766,619,1020,62.650,22.065
13,227.445,73.994,22.184,668,1018,6.843,16.878
