 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,421.510,77.304,25.793,1283,812,82.147,22.907
2,138.951,44.606,15.687,1232,800,141.843,12.335
3,265.482,61.836,20.550,1201,853,59.036,17.621
4,354.752,70.860,25.414,1232,835,123.690,20.559
5,260.824,62.868,22.874,1292,868,74.358,15.859
6,223.563,57.279,19.799,1263,897,20.854,15.859
7,168.449,47.828,17.840,1208,917,147.095,14.097
8,328.359,72.320,24.193,1220,946,146.889,20.264
9,250.733,60.288,20.887,1264,950,152.354,17.816
10,393.565,77.304,27.142,1216,990,125.754,20.502
11,211.920,64.542,21.796,1247,1048,14.036,14.978
12,152.924,46.795,16.925,1208,1056,141.340,12.692
13,374.158,76.147,26.854,1173,1077,131.009,20.216
14,145.161,45.549,16.554,1224,1097,154.799,13.003
15,230.550,60.288,21.455,1170,1114,19.179,16.454
16,138.175,47.311,16.389,1204,1117,143.746,13.216
17,142.056,44.303,15.412,1235,1127,30.964,13.216
18,256.943,61.320,21.599,1264,1156,78.232,16.447
19,182.422,50.017,17.555,1172,1142,162.474,14.978
