 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,150.595,48.771,17.355,1407,798,113.962,11.454
2,167.673,56.461,19.563,1152,799,125.838,13.676
3,161.462,46.279,16.198,1102,816,67.620,14.097
4,250.733,61.534,22.289,1387,804,108.435,15.859
5,171.554,50.961,17.555,1192,807,107.526,13.929
6,187.079,51.993,18.163,1427,832,67.166,14.906
7,105.572,38.073,14.343,1077,815,132.510,11.214
8,204.933,54.271,18.078,1345,819,136.975,15.859
9,170.001,49.590,17.840,1287,823,122.905,14.097
10,208.038,53.844,19.563,1170,827,125.838,14.958
11,112.558,40.779,14.978,1077,837,118.072,11.241
