 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,230.550,57.796,22.026,1200,1311,53.130,14.626
2,414.524,86.756,32.611,1143,1326,51.582,18.635
3,387.355,93.075,28.208,1211,1328,38.660,19.701
4,172.330,48.557,16.198,1228,1347,157.620,14.973
5,265.482,61.534,23.410,1317,1368,70.201,15.737
6,598.498,92.345,30.938,1331,1376,19.983,26.005
7,190.960,68.280,24.369,1159,1382,49.399,11.954
8,506.899,108.115,33.072,1245,1394,41.760,24.094
9,251.509,59.558,21.455,1131,1401,70.821,16.217
10,155.252,45.549,15.612,1107,1382,106.390,13.216
11,468.086,80.098,28.111,1223,1429,32.196,23.051
12,495.255,84.566,28.861,1462,1408,102.339,23.789
13,263.153,61.106,21.328,1309,1430,38.290,17.269
14,502.241,94.107,31.767,1433,1450,70.560,23.789
15,284.112,64.328,24.193,1280,1450,79.509,15.724
16,171.554,49.501,17.355,1332,1445,66.038,13.929
17,263.929,67.336,22.463,1242,1449,41.820,17.621
18,599.274,100.337,31.287,1202,1467,32.347,28.194
19,242.194,69.828,21.328,1088,1463,38.290,18.502
20,128.859,44.517,16.717,1303,1446,108.435,11.454
21,121.097,52.509,18.334,1329,1473,54.782,10.098
22,124.978,56.033,18.917,1353,1476,62.241,11.707
23,128.083,48.771,15.412,1130,1469,149.036,12.494
24,292.651,68.796,23.967,1456,1493,53.973,18.067
25,128.859,40.779,13.931,1235,1472,124.695,12.335
26,110.229,41.811,14.978,1373,1486,61.928,11.112
27,343.108,73.566,24.575,1298,1487,104.534,19.383
28,376.487,75.026,26.151,1181,1508,32.619,19.701
29,347.765,68.368,23.510,1328,1491,102.995,18.502
30,124.202,41.811,15.687,1060,1511,38.157,11.806
31,259.271,61.106,21.796,1129,1512,165.964,15.859
32,165.344,47.009,16.198,1258,1511,157.620,14.725
33,282.559,66.518,22.583,1440,1529,69.444,17.731
34,184.750,62.993,19.243,1205,1530,74.055,13.660
35,306.623,66.304,24.685,1225,1535,55.176,17.444
36,107.124,38.589,14.234,1140,1530,21.801,9.692
37,171.554,48.771,17.310,1118,1543,14.744,13.650
38,235.207,58.828,18.855,1188,1556,37.405,17.621
39,186.303,50.533,18.334,1247,1557,35.218,14.329
40,100.914,37.557,13.931,1021,1551,18.435,9.692
41,326.030,86.542,27.525,1281,1566,39.806,18.690
42,218.130,56.550,20.493,1378,1553,154.537,15.761
43,179.317,49.803,17.107,1121,1568,34.509,14.958
44,117.992,50.533,16.389,1421,1554,126.254,11.674
45,306.623,65.058,22.907,1091,1582,22.620,19.383
46,104.019,37.771,13.791,1375,1570,153.435,10.639
47,110.229,38.287,14.584,1145,1577,25.017,10.573
48,203.381,52.509,17.621,1267,1579,126.870,15.575
49,167.673,48.255,16.460,1288,1581,105.524,14.774
50,188.632,51.049,18.142,1216,1587,150.945,15.324
51,135.070,50.747,18.163,1356,1591,165.964,10.345
52,107.124,37.255,13.420,1347,1607,23.199,11.454
53,160.686,47.525,16.947,1402,1608,98.973,13.132
54,357.857,76.272,24.048,1197,1628,8.427,21.546
55,121.097,41.295,14.450,1337,1638,37.569,12.335
56,382.697,72.836,24.048,1236,1630,118.443,22.026
57,237.536,58.312,22.026,1261,1657,36.870,15.507
58,209.591,59.558,20.283,1331,1665,34.380,16.160
59,159.910,50.533,17.840,1368,1669,122.905,13.007
