 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,203.381,55.304,20.942,1244,1411,22.249,14.103
2,123.426,51.779,19.503,1332,1435,71.565,11.404
3,374.158,77.518,26.092,1343,1482,78.311,21.137
4,188.632,62.263,24.048,1377,1486,171.573,12.821
5,520.095,86.115,29.288,1302,1516,74.291,24.326
6,106.348,39.533,14.207,1296,1566,150.255,10.573
7,117.992,42.327,14.234,1388,1568,158.199,11.372
8,315.162,69.223,22.975,1183,1604,32.471,19.060
9,402.104,80.401,28.981,1320,1620,160.463,19.304
10,124.202,47.098,18.586,1327,1640,174.560,8.811
11,222.011,55.090,20.111,1280,1677,118.811,15.859
12,320.596,69.098,23.510,1134,1686,167.005,17.621
13,173.883,51.263,18.334,1122,1711,144.782,13.555
14,316.715,79.582,26.796,1197,1736,62.592,17.621
15,178.540,53.025,17.310,1320,1729,14.744,14.973
16,401.327,78.550,26.564,1282,1769,174.289,21.145
17,128.859,44.303,16.389,1216,1777,53.746,11.821
