 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,136.622,51.868,21.599,1330,1434,168.232,8.722
2,362.514,71.074,23.967,1259,1452,36.027,21.145
3,181.645,51.779,20.091,1209,1496,15.255,12.609
4,730.462,102.615,34.009,1275,1515,16.557,29.374
5,323.701,68.884,24.241,1198,1516,160.907,16.740
6,448.679,82.590,30.381,1303,1536,29.539,19.945
7,395.117,77.090,28.208,1211,1554,14.470,18.438
8,755.303,105.107,36.476,1240,1595,37.147,28.439
9,298.861,80.615,25.657,1367,1567,105.945,17.621
10,236.760,58.009,20.283,1202,1588,34.380,16.198
11,603.156,92.861,32.156,1300,1603,170.538,25.200
12,133.517,44.819,16.925,1372,1628,38.660,11.454
13,298.085,68.884,25.075,1336,1640,18.435,15.859
14,139.727,44.303,16.389,1199,1648,36.254,12.296
15,439.364,78.852,27.525,1212,1674,39.806,21.748
16,939.277,115.893,37.978,1270,1680,176.009,32.954
17,309.729,70.558,26.970,1363,1690,38.367,17.444
18,512.333,90.583,32.990,1390,1702,34.114,21.277
19,798.774,137.805,37.711,1265,1719,142.595,30.611
20,326.030,72.018,26.151,1403,1738,32.619,17.202
