 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,547.265,88.909,30.736,1166,1025,152.700,24.670
2,300.413,66.820,22.737,1214,1024,144.462,19.383
3,339.226,70.469,22.975,1246,1069,94.399,20.915
4,242.194,60.590,22.097,1296,1078,113.499,15.519
5,111.782,38.803,14.584,1182,1105,64.983,10.573
6,964.117,118.599,38.686,1143,1096,120.069,33.480
7,924.528,117.353,38.049,1192,1119,132.184,32.952
8,126.531,47.828,19.563,1444,1141,82.235,9.025
9,634.982,96.385,33.492,1280,1127,144.638,27.045
10,343.108,72.836,27.142,1416,1133,103.134,16.717
11,270.915,61.534,21.796,1376,1173,75.964,16.740
12,579.868,91.312,31.632,1141,1182,12.875,26.432
13,587.630,94.107,32.071,1328,1172,142.815,25.856
14,459.547,87.235,32.694,1302,1204,104.036,17.406
15,822.838,108.329,37.057,1478,1213,151.607,29.281
16,312.057,76.663,28.441,1320,1241,73.811,14.097
17,282.559,67.638,26.196,1164,1253,109.654,14.097
18,191.737,60.892,24.193,1182,1259,100.491,11.365
19,478.954,83.836,30.111,1465,1264,110.556,20.982
20,888.820,120.877,47.650,1262,1287,146.310,26.793
21,755.303,104.591,35.440,1378,1297,145.125,28.722
22,510.004,88.695,33.166,1440,1292,129.611,20.738
23,683.887,100.248,33.769,1322,1306,164.876,28.035
24,830.600,117.656,41.071,1253,1355,144.605,31.434
25,506.123,96.296,33.306,1148,1391,127.476,23.674
26,535.621,87.788,29.604,1411,1409,126.529,23.965
27,696.307,102.010,34.553,1482,1440,109.359,26.789
28,1086.767,130.934,45.696,1294,1457,146.004,33.783
29,946.263,116.107,39.135,1446,1488,121.185,32.376
