 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,715.713,116.623,34.406,2109,1308,50.194,31.205
2,372.606,73.780,27.370,2054,1309,33.179,18.326
3,715.713,103.647,36.889,2002,1333,49.844,27.177
4,440.917,80.401,30.137,1972,1329,52.125,20.060
5,342.332,92.558,27.666,2191,1312,142.765,20.897
6,221.235,67.034,21.814,2063,1361,46.637,15.978
7,650.507,117.265,38.807,1958,1417,39.472,25.022
8,530.187,107.813,29.813,2109,1416,34.160,26.151
9,645.074,120.877,35.994,2196,1434,68.459,27.975
10,938.501,115.680,38.252,2070,1489,61.074,32.830
11,328.359,70.558,23.641,1956,1466,26.565,20.264
12,721.924,108.115,38.706,2116,1489,41.309,25.633
13,520.095,96.813,30.381,1888,1493,29.539,26.399
14,451.784,92.558,29.813,2161,1499,34.160,21.182
15,740.554,106.353,37.844,1814,1501,24.775,27.313
16,850.783,135.313,40.615,1954,1533,40.601,30.858
17,715.713,123.067,36.166,2021,1529,34.077,27.205
18,422.286,84.264,26.854,1748,1532,48.991,23.214
19,611.694,100.639,37.141,2230,1538,22.306,22.290
20,883.386,113.615,40.076,2107,1552,33.341,30.527
21,763.065,113.313,38.131,2039,1574,49.686,29.122
22,704.846,102.099,33.769,1968,1578,15.124,28.207
23,239.089,72.018,26.284,1874,1627,39.560,16.372
24,117.216,47.739,15.883,2036,1630,19.440,13.110
25,175.435,59.558,23.723,1971,1647,31.329,10.584
26,254.614,71.502,30.584,2074,1677,48.504,13.083
27,119.544,42.239,14.769,1948,1665,107.354,11.982
28,473.520,90.494,34.754,1973,1720,30.466,19.822
29,141.280,49.715,19.343,2010,1725,59.931,10.990
30,102.467,47.739,20.644,1986,1731,39.806,8.722
31,156.805,56.763,23.967,2011,1737,36.027,10.220
