 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,215.025,69.828,27.355,1420,860,165.069,12.259
2,249.956,75.328,25.230,1205,868,155.225,15.216
3,176.988,57.066,21.455,1243,871,160.821,11.454
4,372.606,83.320,32.071,1390,874,164.055,16.740
5,466.533,85.599,30.584,1120,880,168.366,21.145
6,302.742,75.417,30.584,1191,885,168.366,13.132
7,116.439,49.287,19.060,1455,891,146.310,9.851
8,416.853,82.590,31.150,1188,910,8.130,17.621
9,911.331,116.837,42.529,1022,930,13.173,29.183
10,107.124,45.852,19.878,1533,923,12.804,7.048
11,981.971,120.664,43.743,1146,967,55.670,31.136
12,113.334,44.001,16.078,1091,935,170.538,10.043
13,842.244,111.853,38.736,956,946,162.801,29.946
14,752.974,105.196,36.327,1145,997,14.036,26.432
15,1240.467,135.100,47.093,970,1020,17.418,36.250
16,752.198,104.377,34.043,1071,1011,169.563,29.533
17,465.757,85.989,31.840,1150,1019,165.579,17.621
18,468.862,90.885,34.642,1237,1038,172.694,20.264
19,142.056,55.820,21.182,1323,1039,16.928,10.450
20,308.952,80.098,30.163,1097,1048,6.710,15.859
21,729.686,114.647,38.171,992,1117,161.147,27.278
22,966.446,119.115,41.297,890,1128,168.930,33.098
23,253.838,60.590,21.761,1042,1141,31.759,16.341
24,416.076,95.780,31.448,1081,1177,11.310,22.075
25,463.428,92.345,31.913,1270,1175,6.340,19.737
26,167.673,49.287,17.970,1038,1175,168.690,12.940
27,580.644,93.163,34.620,1092,1204,14.744,21.944
28,294.980,66.820,25.611,1492,1211,176.055,15.859
29,584.525,93.591,33.025,1207,1227,170.789,24.588
30,627.220,96.385,34.620,893,1240,165.256,23.789
