 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,415.300,77.090,28.153,1054,1376,159.864,20.217
2,114.111,40.049,15.056,1037,1413,159.444,10.573
3,192.513,68.796,25.060,1103,1440,169.875,13.712
4,256.943,80.187,34.271,997,1443,162.031,11.860
5,194.065,53.328,18.397,1179,1454,163.301,13.216
6,370.277,72.534,25.230,1155,1516,12.095,20.095
7,121.873,44.001,16.947,1168,1536,117.897,10.942
8,196.394,51.263,17.840,1147,1546,159.775,14.952
9,423.839,84.139,30.137,1066,1571,164.745,19.070
10,451.784,80.401,29.617,1054,1605,149.621,21.277
11,385.026,78.978,30.381,961,1631,150.461,17.981
12,109.453,43.057,17.355,951,1697,156.038,8.637
13,482.059,88.518,34.271,1004,1728,162.031,19.549
14,147.490,49.199,20.283,998,1741,145.620,9.968
