 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,402.104,76.788,26.432,706,288,36.870,21.182
2,530.187,86.845,28.372,783,291,154.231,25.746
3,639.640,98.147,32.611,666,288,141.582,26.432
4,371.829,94.534,26.666,742,288,97.595,22.478
5,562.790,91.526,31.150,720,318,98.130,25.687
6,115.663,51.263,18.163,688,327,112.834,9.851
7,249.956,59.042,20.794,796,354,143.616,16.740
8,640.416,106.994,35.385,726,382,18.886,27.494
9,487.492,90.280,31.938,888,393,155.556,21.433
10,583.749,101.797,32.312,812,399,168.996,27.163
11,111.005,41.295,15.687,720,395,141.843,10.426
12,145.937,51.049,16.246,665,413,49.399,13.003
13,329.911,68.368,24.305,523,432,43.531,19.123
14,829.048,110.305,38.706,763,424,168.179,30.237
15,520.872,105.837,32.071,587,429,142.815,23.961
16,356.304,74.082,28.097,656,453,48.814,18.690
17,1036.310,124.918,43.823,820,455,149.826,34.209
18,653.613,102.313,36.327,511,504,50.906,25.986
19,138.175,48.041,18.586,659,487,31.430,11.984
20,235.984,65.876,26.284,538,508,76.430,13.581
21,640.416,97.115,31.767,784,501,146.310,28.035
22,433.154,77.304,26.840,727,524,23.199,22.428
23,141.280,44.819,16.947,827,521,27.897,12.335
24,326.806,71.288,25.044,572,542,50.711,18.469
25,819.733,113.918,39.402,611,545,10.305,28.764
26,751.422,118.083,36.983,459,564,77.619,29.085
27,718.819,105.535,38.384,483,566,31.866,25.161
28,372.606,79.280,28.153,736,587,20.136,18.406
29,655.941,109.059,33.906,449,594,155.433,27.412
30,753.750,103.647,35.110,511,601,162.474,28.194
31,703.293,128.479,38.131,654,626,40.314,27.544
32,197.947,55.820,21.671,382,638,63.435,13.092
33,489.821,83.623,27.652,435,640,30.651,23.789
34,645.850,104.591,33.998,629,620,121.218,26.995
35,110.229,42.969,17.377,758,666,59.534,9.345
