 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,656.718,119.631,43.467,1307,737,162.300,24.670
2,634.206,95.353,32.023,1242,755,7.907,26.432
3,296.532,76.058,25.075,1451,762,18.435,18.502
4,211.143,58.312,18.732,1105,755,131.186,15.859
5,121.873,43.787,16.246,1376,782,40.601,11.837
6,159.910,52.295,20.341,1338,776,17.650,10.863
7,276.349,63.812,22.097,1203,785,156.501,16.740
8,522.424,89.123,32.492,1398,790,167.471,22.026
9,111.005,40.263,15.387,1471,805,23.629,10.573
10,300.413,68.066,25.928,1398,813,170.218,15.859
11,439.364,79.494,28.861,1191,824,167.661,22.568
12,256.166,59.771,20.341,1295,822,162.350,17.621
13,222.011,61.836,24.193,1249,838,169.509,12.098
14,301.966,67.336,25.368,1427,846,159.677,16.740
15,300.413,66.731,23.510,1199,877,167.005,18.067
16,208.038,55.820,19.343,1172,880,149.931,15.859
17,232.102,59.558,22.652,1134,884,13.496,14.687
18,172.330,51.352,20.341,1278,882,162.350,11.443
19,377.263,76.058,27.666,1339,908,9.162,18.689
20,408.314,77.090,27.355,1225,912,165.069,19.844
21,111.782,41.811,17.107,1109,916,11.889,8.811
22,204.933,60.074,23.723,1410,954,21.801,11.876
23,190.184,57.582,20.625,1306,947,160.017,12.057
24,559.685,90.066,30.381,1272,967,119.539,25.727
25,248.404,60.074,20.942,1243,979,157.751,17.122
26,496.808,85.599,29.917,1517,981,166.373,22.651
27,131.965,46.065,18.142,1161,994,29.055,10.840
28,424.615,79.066,27.213,1486,998,150.945,21.552
29,130.412,45.763,18.586,1259,999,174.560,10.573
30,258.495,77.304,25.060,1157,1008,169.875,15.517
31,335.345,71.074,24.811,1119,1016,16.504,19.383
32,178.540,50.747,18.397,1124,1046,16.699,14.488
33,220.458,62.780,25.060,1455,1045,10.125,13.216
34,348.542,71.074,24.920,1206,1053,171.870,18.502
35,283.336,77.002,25.230,1364,1090,77.905,18.389
36,135.070,48.255,19.243,1170,1075,15.945,9.980
37,388.131,76.058,27.861,1246,1084,18.435,19.960
38,300.413,81.042,26.284,1438,1102,50.440,18.163
39,234.431,74.598,25.687,1556,1106,30.964,15.400
40,121.873,42.327,15.158,1383,1102,35.538,11.427
