 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,326.806,68.582,25.075,651,908,18.435,17.621
2,120.321,41.509,15.158,439,933,144.462,11.837
3,317.491,66.090,22.652,607,942,166.504,18.502
4,225.892,56.247,20.091,530,943,164.745,15.761
5,166.896,50.533,18.163,472,940,157.166,12.598
6,360.962,71.679,24.936,409,975,32.005,19.383
7,453.337,83.534,28.699,571,989,17.879,21.819
8,319.044,70.683,24.193,486,988,10.491,18.690
9,400.551,76.877,27.581,307,1005,26.565,21.145
10,109.453,37.771,13.216,401,1000,143.130,11.454
11,416.076,79.280,28.153,335,1026,20.136,20.060
12,250.733,61.747,23.327,530,1016,100.886,15.315
13,252.285,61.836,24.064,455,1023,156.251,15.859
14,138.175,47.828,19.019,545,1021,103.392,10.022
15,139.727,51.049,19.243,697,1075,74.055,11.111
16,187.079,53.541,20.111,522,1060,151.189,14.291
17,110.229,40.049,14.450,565,1078,127.569,11.325
18,388.131,76.058,27.142,422,1094,13.134,20.883
19,124.202,51.049,17.377,660,1080,120.466,11.404
20,166.120,51.993,18.979,363,1100,158.199,13.394
21,223.563,56.550,19.323,490,1123,24.228,16.740
22,121.097,44.731,16.174,413,1122,119.358,12.077
23,104.019,41.811,15.209,368,1127,169.992,9.692
24,261.600,61.017,20.887,390,1150,27.646,18.047
25,218.130,58.312,20.493,452,1149,25.463,16.738
26,293.427,85.296,27.142,547,1190,76.866,18.398
27,128.083,46.279,17.107,720,1163,124.509,12.209
28,148.266,53.025,17.355,484,1192,66.038,14.578
29,539.502,108.631,35.951,615,1173,126.027,26.766
30,139.727,56.033,22.652,562,1192,103.496,12.127
31,136.622,48.771,18.917,551,1202,117.759,11.241
32,261.600,67.550,22.184,448,1229,83.157,17.613
