 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,217.353,55.606,20.493,1178,736,64.537,14.097
2,349.318,73.352,26.505,1239,755,74.578,17.381
3,182.422,57.279,22.463,1368,731,101.310,13.216
4,262.377,62.566,24.543,1428,731,111.038,14.860
5,319.820,74.598,24.685,1379,736,124.824,17.229
6,255.390,78.764,22.307,1303,765,80.910,17.907
7,116.439,44.819,17.840,1214,763,69.775,9.692
8,174.659,48.771,17.107,1338,746,101.889,14.097
9,197.947,56.550,21.310,1138,793,82.875,12.335
10,275.573,63.598,22.566,1497,790,38.660,17.381
11,399.775,75.114,25.928,1172,800,80.218,20.264
12,152.147,46.154,16.389,1341,791,53.746,12.335
13,183.198,52.295,18.835,1152,784,100.784,14.097
14,242.970,63.296,22.514,1250,807,59.421,16.740
15,308.952,75.542,25.732,1383,786,128.047,17.469
16,163.791,58.739,17.970,1461,807,78.690,13.036
17,454.113,81.131,28.981,1262,830,70.463,21.742
18,104.019,39.017,14.450,1343,804,142.431,11.214
19,246.075,67.034,24.575,1287,835,75.466,14.097
20,145.937,45.033,15.883,1200,814,109.440,13.216
21,409.866,76.360,26.796,1228,844,80.538,20.264
22,204.933,54.787,19.799,1332,821,122.276,15.575
23,113.334,40.263,15.158,1416,839,54.462,10.508
24,126.531,52.723,16.460,1504,829,105.524,11.033
25,332.240,68.280,22.652,1454,858,76.504,20.771
26,222.787,56.550,18.669,1134,843,109.290,16.512
27,236.760,59.771,21.437,1376,875,80.538,15.605
28,156.805,50.320,19.878,1204,904,102.804,11.423
29,169.225,50.320,19.701,1143,932,63.435,12.215
30,196.394,52.509,17.555,1462,930,107.526,15.367
31,340.003,70.558,23.723,1360,934,121.329,20.264
32,203.381,54.787,20.091,1241,958,74.745,13.939
33,261.600,62.566,21.219,1167,966,41.634,17.621
34,485.940,85.385,28.981,1267,953,109.537,22.147
35,335.345,70.042,23.723,1330,996,68.199,19.999
36,436.259,77.606,25.245,1465,980,150.751,23.641
37,353.975,72.106,24.811,1239,1007,73.496,20.264
38,346.989,71.074,24.369,1379,989,102.529,19.064
39,146.714,53.239,17.310,1185,1000,104.744,13.216
40,467.310,81.344,26.284,1400,1010,140.440,24.670
41,116.439,41.598,16.198,1338,1027,112.380,9.692
42,346.989,71.590,23.805,1302,1035,128.991,21.145
43,301.190,66.606,23.641,1437,1060,63.435,17.319
44,353.199,69.400,23.707,1358,1044,131.987,20.264
45,433.154,76.877,25.687,1466,1058,112.166,22.026
46,164.568,49.074,17.555,1297,1089,72.474,12.335
47,422.286,78.248,26.955,1339,1111,78.690,22.459
48,409.090,77.606,26.505,1402,1118,68.552,22.026
49,478.954,84.566,28.901,1235,1126,37.569,22.818
50,313.610,73.138,24.305,1318,1141,46.469,19.848
51,403.656,75.844,25.044,1195,1142,39.289,22.065
52,397.446,76.877,25.928,1431,1154,80.218,21.145
53,125.754,43.057,17.310,1450,1144,75.256,9.692
54,229.774,57.582,20.625,1291,1160,70.017,15.673
55,408.314,75.631,24.951,1464,1157,132.138,22.026
56,429.273,80.703,27.440,1196,1183,47.603,21.537
57,102.467,38.073,13.931,1181,1172,34.695,10.573
58,367.172,72.320,23.460,1272,1165,124.287,21.596
59,346.989,73.566,26.092,1369,1171,101.689,20.264
60,111.782,38.803,13.931,1152,1186,34.695,11.145
61,147.490,46.795,15.587,1406,1179,132.709,13.216
62,430.825,79.671,28.042,1193,1212,43.727,21.585
63,368.724,72.836,24.873,1270,1220,67.068,20.883
64,228.221,58.828,21.599,1152,1196,101.768,14.746
65,354.752,70.558,24.543,1403,1198,111.038,20.824
66,228.997,57.796,20.942,1341,1232,75.379,14.978
67,341.555,70.344,24.480,1458,1211,120.256,18.877
68,281.007,67.336,23.410,1300,1236,70.201,17.309
69,339.226,89.853,26.898,1129,1240,58.392,20.611
70,131.965,43.057,15.387,1222,1243,66.371,12.130
71,323.701,69.098,25.687,1102,1256,67.834,18.502
72,600.827,91.401,30.546,1184,1254,33.232,27.313
73,222.787,59.042,22.237,1370,1256,56.310,14.808
74,355.528,73.352,25.611,1438,1257,130.815,20.489
75,371.053,74.171,26.017,1265,1258,118.301,19.383
76,142.832,45.763,16.389,1411,1293,36.254,12.246
