 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,180.869,66.518,20.436,848,297,7.431,13.305
2,227.445,67.159,22.184,918,323,173.157,16.740
3,550.370,94.107,33.998,818,347,31.218,22.772
4,503.018,94.962,33.906,922,381,24.567,21.154
5,235.207,61.961,20.794,840,393,36.384,15.549
6,305.071,68.796,24.811,983,440,6.116,17.267
7,409.090,81.256,29.168,914,448,25.017,20.000
8,472.744,107.297,33.550,1066,464,13.671,25.023
9,315.939,69.739,25.199,896,492,36.469,17.444
10,497.584,88.091,31.840,970,502,14.421,21.930
11,182.422,60.288,19.060,1107,496,146.310,15.190
12,402.880,80.010,29.062,1016,520,14.036,20.434
13,306.623,73.780,29.088,926,558,35.134,16.198
14,421.510,78.336,28.208,954,587,14.470,20.264
