 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,340.779,74.082,28.372,506,820,25.769,17.553
2,315.939,71.715,26.284,438,848,13.570,18.389
3,279.454,66.606,25.044,530,867,50.711,16.361
4,124.978,43.271,14.664,395,858,32.735,13.216
5,134.293,48.985,18.163,411,866,129.094,11.227
6,295.756,70.042,25.245,493,896,60.751,18.110
7,219.682,65.788,22.097,374,921,175.426,14.677
8,1345.262,181.379,48.386,515,974,56.889,40.495
9,187.855,66.518,22.463,572,937,115.560,15.217
10,234.431,58.739,19.878,626,994,12.804,17.444
11,353.975,78.764,26.284,671,995,13.570,18.502
12,265.482,63.296,22.237,379,991,146.310,17.179
13,115.663,51.993,20.283,550,1016,55.620,10.383
14,117.216,43.787,16.947,632,1028,81.027,9.692
15,162.239,53.239,21.219,346,1010,131.634,11.837
16,117.992,42.969,14.769,526,1028,17.354,12.598
17,242.194,58.953,20.341,573,1035,162.350,16.533
18,126.531,48.041,17.377,531,1041,149.534,11.454
19,236.760,65.058,25.611,460,1057,130.815,14.432
20,225.892,65.485,23.277,495,1079,119.476,16.648
21,529.411,104.289,38.131,402,1085,139.686,21.644
22,133.517,50.017,19.060,287,1086,146.310,10.996
23,138.951,48.469,19.060,460,1097,146.310,10.591
24,220.458,61.747,23.261,454,1123,127.304,14.219
25,421.510,86.417,30.584,380,1129,138.504,23.643
26,278.678,68.280,26.898,504,1131,121.608,15.575
27,443.246,80.098,27.355,417,1172,165.069,22.651
28,232.102,60.288,23.967,475,1167,126.027,14.329
29,359.409,78.764,28.000,386,1184,155.854,18.434
30,102.467,37.469,13.931,455,1185,124.695,9.968
