 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,181.645,65.272,22.463,1386,200,168.690,14.169
2,135.070,57.493,20.738,1350,211,12.265,10.608
3,143.608,49.287,16.246,1293,288,167.471,12.786
4,150.595,58.223,18.163,1546,338,129.094,13.650
5,495.255,101.797,29.617,1375,382,157.249,23.789
6,534.068,104.414,34.316,1441,403,150.803,21.671
7,453.337,94.660,31.150,1390,424,171.870,20.982
8,183.974,60.715,22.463,1554,416,138.180,12.719
9,140.503,58.739,17.840,1535,419,122.905,12.863
10,384.250,75.970,25.913,1259,448,162.181,19.629
11,239.089,67.461,24.193,1413,447,169.509,14.978
12,355.528,83.320,29.813,1436,478,145.840,17.731
13,156.029,58.009,20.436,1511,496,172.569,12.335
14,441.693,94.107,31.840,1322,511,14.421,22.026
15,471.967,91.312,30.648,1392,508,161.565,20.739
16,203.381,63.296,24.575,1504,516,165.466,11.511
17,166.120,48.771,16.554,1357,525,154.799,14.103
18,322.925,70.344,25.657,1434,538,164.055,16.740
19,225.892,67.764,20.794,1488,556,126.384,17.621
