 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,419.958,86.328,29.341,469,966,48.652,21.805
2,437.035,84.780,27.861,429,990,55.305,21.446
3,474.296,103.220,28.153,540,967,110.136,23.933
4,207.262,53.541,19.403,495,1001,39.472,14.662
5,169.225,50.836,19.060,593,1016,56.310,11.967
6,565.895,90.280,32.035,446,1044,58.496,23.557
7,176.988,54.787,19.563,542,1022,97.765,12.335
8,513.885,89.941,33.492,677,1062,63.435,21.292
9,378.040,77.606,29.552,703,1067,79.695,18.067
10,109.453,41.509,15.687,514,1050,51.843,9.851
11,114.111,43.485,17.840,458,1050,32.905,9.345
12,333.793,69.223,24.369,582,1039,102.529,19.960
13,211.920,63.509,21.437,564,1061,99.462,15.097
14,466.533,81.558,26.666,504,1076,172.405,24.192
15,277.126,67.034,22.975,436,1094,57.529,18.502
16,242.194,61.320,22.079,636,1098,61.390,14.579
17,341.555,68.796,23.805,591,1104,38.991,19.264
18,265.482,61.320,20.794,714,1102,36.384,18.067
19,404.432,76.574,27.666,369,1141,80.838,19.844
20,453.337,79.369,25.732,422,1137,51.953,23.789
21,166.896,48.344,17.621,707,1127,36.870,14.097
22,817.404,107.599,35.242,665,1153,53.130,31.150
23,582.196,94.623,32.312,536,1164,78.996,25.551
24,575.210,89.550,31.485,607,1162,72.072,24.511
25,548.041,99.091,31.448,482,1129,101.310,25.217
26,358.633,72.409,26.196,750,1170,70.346,16.740
27,577.539,108.845,30.774,400,1177,13.241,26.428
28,441.693,80.098,27.525,679,1179,39.806,22.010
29,416.853,77.606,26.753,458,1155,107.241,21.145
30,464.205,80.098,26.753,638,1159,107.241,23.641
31,131.965,46.493,18.163,569,1190,67.166,10.639
32,612.471,93.288,30.381,584,1176,106.858,27.975
33,530.963,96.599,29.181,482,1223,28.887,24.670
34,561.237,89.550,29.617,548,1201,112.751,26.322
35,416.853,88.820,26.840,449,1209,156.801,23.499
36,569.776,117.353,35.517,674,1233,29.745,22.459
37,239.865,59.558,21.509,426,1217,145.008,15.761
38,346.213,74.082,27.327,694,1262,69.228,17.203
39,635.759,95.139,32.035,610,1269,31.504,27.313
40,449.456,80.098,26.446,568,1262,150.018,22.752
41,398.999,76.574,27.525,701,1294,50.194,20.095
42,344.660,73.566,25.230,618,1296,12.095,18.623
